block,n_probes,latency_steps,noise_frac,E_phi_mean,E_zonal_mean,E_turb_mean,Ez_over_Et,tau_E_proxy
sparsity,full_band,0,0.0,14554.089978331434,1497.91282732784,25441.67888807076,0.0588763357134497,90963.06236400292
sparsity,64,0,0.0,14532.90810566044,1495.6923975609152,25444.480513878098,0.0587825873177141,90830.67565981003
sparsity,32,0,0.0,14536.141979416365,1495.3104292910857,25439.04830865596,0.0587801246001127,90850.88737078445
sparsity,16,0,0.0,14280.402503867392,1467.6260249429429,25001.216577914085,0.0587021843664773,89252.51564861335
sparsity,8,0,0.0,14734.622232668124,1517.8773410800063,25757.69027165747,0.058929093605501,92091.3889536002
sparsity,4,0,0.0,14588.020251011943,1510.717232604566,25681.47821542346,0.0588251665239923,91175.1265682548
latency,16,5,0.0,11086.861816089338,1186.8329838456075,20455.050326656223,0.0580215137529616,69292.88635012526
latency,16,10,0.0,8160.9218311724,872.0631627680474,15264.423912001546,0.057130433994459,51005.7614445087
latency,16,20,0.0,5060.4829340398755,503.4321973300353,9127.9368625335,0.0551529009141618,31628.01833755154
stress,16,10,0.05,8701.607232264852,919.8607530018965,16055.77561279825,0.0572915800011968,54385.045201315406
